Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:34:34.130025-03:00,0802304-46.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:40:03.411271-03:00,0802308-83.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),SILVANE BRITO LOPES
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:40:33.921652-03:00,0802309-68.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:42:52.216894-03:00,0802311-38.2026.8.14.0006,DIVÓRCIO LITIGIOSO (12541),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 12:59:17.015426-03:00,0802567-78.2026.8.14.0006,AÇÃO DE ALIMENTOS DE INFÂNCIA E JUVENTUDE (1389),ANA CLAUDIA DA SILVA CABRAL
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:18:16.336012-03:00,0802322-67.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:21:46.182771-03:00,0802319-15.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:22:29.585398-03:00,0802320-97.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAÍSSA GOMES DOS SANTOS DRAGO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:34:56.358938-03:00,0802325-22.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),SILVANE BRITO LOPES
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:36:17.741419-03:00,0802327-89.2026.8.14.0006,AÇÃO DE ALIMENTOS DE INFÂNCIA E JUVENTUDE (1389),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:46:18.198767-03:00,0802564-26.2026.8.14.0006,AÇÃO DE ALIMENTOS DE INFÂNCIA E JUVENTUDE (1389),ANA CLAUDIA DA SILVA CABRAL
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:48:18.655952-03:00,0802333-96.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO AYAN DA SILVA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:51:01.704205-03:00,0802334-81.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),SILVANE BRITO LOPES
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 13:56:22.163827-03:00,0802340-88.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-31 14:18:52.498534-03:00,0802339-06.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),THAMIRES OLIVEIRA NASCIMENTO
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-02 13:12:22.035458-03:00,0802434-36.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-09 11:00:42.232362-03:00,0803074-39.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-13 11:42:55.044606-03:00,0804081-66.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA (156),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 13:36:37.707005-03:00,0805280-26.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA (156),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 13:37:56.305092-03:00,0805284-63.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA (156),ISABELE CASTRO DA SILVA LIMA
CÍVEL,ANANINDEUA,2ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 13:53:31.034417-03:00,0805274-19.2026.8.14.0006,CUMPRIMENTO DE SENTENÇA (156),ISABELE CASTRO DA SILVA LIMA
